Date,Summary,Keywords,Url
2015-01-18T00:00:00Z,Todd Haynes&#8217;s 1995 drama &#8220;Safe&#8221; and the second season of the FX series &#8220;The Americans&#8221; depict suburbanites stifled in different ways by their environment.,"['Movies', 'Television', 'Haynes, Todd', 'Moore, Julianne', 'Safe (Movie)', 'The Americans (TV Program)']",http://www.nytimes.com/2015/01/18/movies/homevideo/todd-hayness-safe-and-season-2-of-the-americans-come-to-disc.html
2002-10-13T00:00:00Z,"THERE is something rather God-like about ordaining a body of water to appear on your land. And in creating an Eden-like garden setting where plants and animals will thrive. Whether it is a God complex or just good old home-improvement obsession, the craze over garden ponds in the county continues unabated. The pond industry reports a climb in the numbers of homeowners putting in water gardens, defying logical obstacles like drought, West Nile virus warnings and economic downturns.","['WESTCHESTER COUNTY (NY)', 'LANDSCAPING', 'PONDS']",http://www.nytimes.com/2002/10/13/nyregion/pond-proud.html
2013-06-16T00:00:00Z,"Get ready for a summer of light. Shimmering, disorienting, indescribable light.","['Art', 'Light', 'Turrell, James', 'Guggenheim, Solomon R, Museum', 'Close, Chuck', 'Govan, Michael', 'Los Angeles County Museum of Art']",http://www.nytimes.com/2013/06/16/magazine/how-james-turrell-knocked-the-art-world-off-its-feet.html
1931-02-08T00:00:00Z,"THE story of a country town is still the story of a coun try town, and the meanest man in Spring County--or was it Pike?--is still as much the skinflint as ever.","['OKLAHOMA TOWN', 'WHITEY', 'IRON WIDOW', 'LACEMAKER LEKHOLM HAS AN IDEA', 'APACHE', ""BLIND MAN'S MARK"", 'MARTIN MAKE-BELIEVE', 'WIDE OPEN TOWN', 'MILBURN, G', 'GRAHAM, C AND G', 'HERVEY, H', 'HELLSTROM, G', 'COMFORT, W L', 'ARMSTRONG, M', 'FRANKAU, G', 'BRINIG, M', 'BOOKS AND LITERATURE', 'REVIEWS AND NOTES', 'BOOKS AND LITERATURE', 'REVIEWS AND NOTES', 'BOOKS AND LITERATURE', 'REVIEWS AND NOTES', 'BOOKS AND LITERATURE', 'REVIEWS AND NOTES', 'BOOKS AND LITERATURE', 'REVIEWS AND NOTES', 'BOOKS AND LITERATURE', 'REVIEWS AND NOTES', 'BOOKS AND LITERATURE', 'REVIEWS AND NOTES', 'BOOKS AND LITERATURE', 'REVIEWS AND NOTES']",http://query.nytimes.com/gst/abstract.html?res=9907EFDB1F3CEE3ABC4053DFB466838A629EDE
1989-09-10T00:00:00Z,LEAD: MEXICO DAYS By Robert Roper. 261 pp. New York: Weidenfeld & Nicolson. $18.95.,"['MEXICO DAYS (BOOK)', 'ROPER, ROBERT', 'BOOK REVIEWS']",http://www.nytimes.com/1989/09/10/books/worshiping-at-the-shrine-of-a-scoundrel.html
1942-11-29T00:00:00Z,"THIS novel might be subtitled ""Why Men Leave Kansas."" It is a saga in reverse, heart-rending and all too familiar in these troubled years: the story of the average farmer, hopelessly outdistanced by the march of the machine.","['FOUR WINDS', 'HAYES, CHAS E', 'BOOKS AND LITERATURE', 'REVIEWS']",http://query.nytimes.com/gst/abstract.html?res=9B03E0DD173FE33BBC4151DFB7678389659EDE
2001-08-19T00:00:00Z,"A few months ago I visited an AIDS organization called the Freedom Foundation outside Bangalore in South India. The whitewashed buildings, once part of a chicken farm, had been converted into a haven for people with H.I.V. infection. By scrambling and cajoling, the volunteer staff managed to get antiretroviral drugs for every infected child. But for the adults wasting away from unchecked H.I.V. infection, the future did not look bright. Had they been able to afford the medications, or for that matter, been residents of the United States, patients in my county hospital in El Paso, Tex., I felt they soon would have had flesh on their bones, the strength to sit up and the prospect of a future. Patients and caregivers at the Freedom Foundation could only look to the horizon and hope that someday, in some research lab, a scientific breakthrough would result in a novel means of attacking H.I.V., something both effective and affordable. If this should happen -- whether vaccine or drug -- the odds are great that it will come from an American research lab. The United States has not only been at the forefront of AIDS research, it has also become the de facto biomedical research wing of our planet. All over the world parents of children with AIDS, with spinal-cord injuries and with so many other diseases dream of miracles that might change their children's future, and it is to the U.S. that they look. The quaint image of a researcher with a pith helmet and microscope working in a jungle is an illusion; the tough questions of basic science require sophisticated institutions and expensive tools of molecular biology -- and money.","['BUSH, GEORGE W', 'STEM CELLS', 'FETAL TISSUE', 'MEDICINE AND HEALTH', 'RESEARCH']",http://www.nytimes.com/2001/08/19/magazine/the-way-we-live-now-cell-block.html
1998-11-01T00:00:00Z,"RECENTLY I took a splendid trip to a mirage. This is how I think of it: a place so beautiful or so improbable or so far exceeding the limits of reasonable expectation that, 10 minutes after you've left it, you cannot believe that you saw what you saw. That's what I call a mirage. Mirages are rare. They are not to be confused with wonderful sights, which are numerous and to which you may grow fully accustomed in time; to mirages, never. A personally held distinction: The Alps are a wonderful sight; Mount McKinley, when it deigns to come out from behind its cloud cover and show its face, is a mirage.","['VENICE (ITALY)', 'PETRA (JORDAN)', 'GRAND CANYON (ARIZ)', 'TRAVEL AND VACATIONS']",http://www.nytimes.com/1998/11/01/travel/in-the-eyes-of-the-beholder.html
2005-08-25T00:00:00Z,"THE blockbuster show here right now is ''Tutankhamen and the Golden Age of the Pharaohs'' at the Los Angeles County Museum of Art. But for those interested in modern design, a small exhibit at the Pasadena Museum of California Art could be the portal to equally amazing discoveries -- an antechamber to lost riches of the last golden age of American design.","['TURK, TRINA', 'GEHRY, FRANK', 'CALIFORNIA', 'HOME FURNISHINGS', 'CULTURE']",http://www.nytimes.com/2005/08/25/garden/25cali.html
2000-12-03T00:00:00Z,"One gardening book after another this season explains the ancient uses of the word ''paradise,'' leading us back to the walled gardens of the Persians, to the Virgin's enclosed bower in medieval paintings, to the earthly roots of what has become a theological rather than a horticultural concept. But the definition of paradise, to my mind, depends as much on the kind of gardener to be found there as it does on the kind of garden. In Milton's version of Eden, Eve says to Adam, ''what we by day / Lop overgrown, or prune, or prop, or bind, / One night or two with wanton growth derides, / Tending to wild.'' Gardens do by nature tend to wild, of course. But can paradise really require the meticulous labor so obvious in the images of enclosed Persian gardens and the Virgin's hortus conclusus? Surely paradise, if anywhere, is the place for the person Christopher Lloyd calls ''the inattentive gardener.'' The book that phrase comes from, CHRISTOPHER LLOYD'S GARDEN FLOWERS: Perennials, Bulbs, Grasses, Ferns (Timber Press, $39.95), is inhabited by many fictional gardeners, as well as by plants from acanthus -- which Milton says grew near Adam and Eve's retreat in Eden -- to zigadenus. Besides inattentive gardeners growing aquilegia, Lloyd mentions ''gardeners of the silver and gray, impeccable taste, school'' who decry cannas, and gardeners growing gauras, mostly, it seems -- who earn this slightly disdainful caution: ''Beware of harboring too many plants in your garden of which the adjectives graceful and charming perpetually spring to your besotted lips.'' When you have been God in your own small heaven, as Lloyd, now approaching 80, has been at Great Dixter, a 15th-century house in East Sussex, since he was born, you can write that way about the vanities that other gardeners and their plants tend to suffer. ''Beware,'' says Lloyd, and it sounds like a warning against the fruits of a certain tree.","['REVIEWS', 'BOOKS AND LITERATURE', 'GARDENS AND GARDENING']",http://www.nytimes.com/2000/12/03/books/gardening-331465.html
